Date,PLTR,CSIQ,WMT,INTC,XOM
02/23/22,10.43,26.629999,131.448822,42.285679,72.19445
02/24/22,11.83,29.1,130.942688,44.246059,71.282265
02/25/22,11.47,29.84,132.743378,45.18364,73.200684
02/28/22,11.85,31.66,131.555893,45.174171,73.746109
03/01/22,12.18,32.77,132.36377,44.340771,74.451416
03/02/22,12.06,31.129999,132.529236,46.282215,75.730354
03/03/22,11.34,30.58,135.57576,45.391987,76.209953
03/04/22,10.96,30.860001,139.011627,45.524578,79.078178
03/07/22,11.11,31.9,137.892288,45.15522,81.927582
03/08/22,11.04,36.400002,135.040436,44.984756,82.548241
03/09/22,11.65,37.040001,135.741241,45.107868,77.855667
03/10/22,11.87,34.919998,138.826691,44.18924,80.272491
03/11/22,11.39,33.16,138.281631,43.403191,79.858711
03/14/22,10.5,28.6,140.208832,42.048912,76.999886
03/15/22,10.77,30.68,141.8927,42.437202,72.617645
03/16/22,11.79,33.16,141.474197,44.160828,72.344917
03/17/22,12.32,33.939999,141.689117,44.643818,74.272743
03/18/22,12.82,35.080002,142.109299,44.937408,73.981209
03/21/22,12.59,35.549999,140.926987,44.880581,77.300819
03/22/22,13.27,37.209999,140.506851,45.827633,76.962273
03/23/22,13.18,36.150002,138.699203,45.713982,78.175385
03/24/22,13.39,37.189999,139.559067,48.886593,78.410484
03/25/22,12.97,35.810001,140.164856,49.085476,80.122009
03/28/22,13.42,35.669998,142.656479,48.782421,77.874458
03/29/22,14.2,36.119999,143.858276,49.483231,77.460701
03/30/22,13.88,35.099998,146.43782,48.706654,78.786644
03/31/22,13.73,35.360001,145.509598,46.935677,77.66758
04/01/22,13.83,35.82,147.551712,45.562458,78.165993
04/04/22,14.63,37.950001,147.581039,46.594738,78.203606
04/05/22,13.89,35.540001,148.001205,45.581398,77.799232
04/06/22,13,34.669998,151.440582,45.02264,78.664398
04/07/22,12.84,34.5,152.955093,45.041584,79.980965
04/08/22,12.7,33.700001,153.805161,44.530174,81.664268
04/11/22,12.66,34.02,150.756592,44.104008,78.852478
04/12/22,12.46,33.91,149.720871,44.037712,80.498177
04/13/22,12.9,34.360001,153.619522,44.520706,81.636047
04/14/22,12.42,33.509998,153.482712,43.251659,82.595276
04/18/22,12.15,33.57,152.310211,44.170296,83.272354
04/19/22,12.91,34.330002,154.039642,45.391987,82.529442
04/20/22,12.79,32.439999,155.974335,45.562458,82.717529
04/21/22,12.33,30.25,156.208817,44.984756,81.842949
04/22/22,11.96,29.530001,153.267776,44.075592,80.056183
04/25/22,12.11,28.76,153.345917,44.568062,77.357254
04/26/22,11.12,27.51,151.7435,43.109604,77.385452
04/27/22,10.56,27.780001,150.707764,42.825489,79.59539
04/28/22,10.95,28.059999,152.632629,44.359707,82.002823
04/29/22,10.4,27.52,149.486389,41.281803,80.169029
05/02/22,10.74,27.809999,148.499496,42.579258,81.259911
05/03/22,10.55,28.91,149.017365,42.673969,82.933807
05/04/22,10.98,30.51,151.079041,44.075592,86.234619
05/05/22,10.12,29.26,149.784592,42.572201,84.92746
05/06/22,9.48,28.120001,146.666122,42.285843,86.22522
05/09/22,7.46,25.690001,148.382263,41.111767,79.426125
05/10/22,7.29,25.780001,146.293472,42.009026,79.952744
05/11/22,6.71,23.299999,144.763657,40.882679,81.617256
05/12/22,7.34,22.540001,144.626358,40.892223,81.987762
05/13/22,8.34,24.34,145.185333,41.617664,84.419846
05/16/22,8.04,24.23,145.342255,41.121307,86.405403
05/17/22,8.36,26.700001,128.808472,42.381298,87.507462
05/18/22,8.01,27.26,120.061066,40.4245,86.120399
05/19/22,8.31,28.76,116.766083,40.09996,86.585915
05/20/22,8.08,29.389999,116.893555,39.756329,87.269943
05/23/22,8.01,29.139999,120.227776,40.090412,89.198517
05/24/22,7.55,30.620001,121.728172,39.775417,89.683037
05/25/22,7.96,29.190001,120.98288,40.281322,91.488091
05/26/22,8.36,30.309999,123.561989,41.503124,91.811104
05/27/22,8.85,31.299999,125.993996,42.524475,92.713631
05/31/22,8.68,32.060001,126.141106,42.400387,91.203072
06/01/22,8.46,32.25,123.022621,42.104481,92.951141
06/02/22,9.3,33.43,125.04277,42.801285,92.789635
06/03/22,8.94,33.099998,122.895142,41.417213,94.13868
06/06/22,8.98,35.610001,122.45385,41.369484,93.901161
06/07/22,9.13,35.09,120.98288,41.550854,98.204819
06/08/22,9.18,34.689999,119.933586,39.355419,99.363853
06/09/22,8.68,34.02,118.678345,38.190895,97.216782
06/10/22,8.26,32.34,119.345192,37.398628,95.440216
06/13/22,7.64,30.16,117.099503,36.052742,91.060585
06/14/22,7.82,29.370001,117.148537,36.20546,91.29808
06/15/22,8.12,29.780001,117.070076,36.892727,90.148537
06/16/22,7.67,28.23,118.286095,35.642284,86.823433
06/17/22,8.24,30.629999,116.001175,35.289116,81.816757
06/21/22,8.71,31.219999,119.806099,36.014553,86.908928
06/22/22,9.01,31.26,118.354736,35.68047,83.46981
06/23/22,9.46,32.380001,121.22805,35.709106,80.952225
06/24/22,10.19,32.380001,121.326103,36.854549,82.557785
06/27/22,9.62,33.950001,121.718376,36.873638,84.581352
06/28/22,9.31,31.84,120.002235,36.062279,86.927933
06/29/22,9.23,30.09,119.560936,35.594563,83.716827
06/30/22,9.07,31.139999,119.227516,35.709106,81.360741
07/01/22,9.27,31.120001,120.257195,34.687756,83.175316
07/05/22,10.07,30.17,121.84584,35.021835,80.57222
07/06/22,9.8,29.280001,122.708824,35.308201,79.118668
07/07/22,10.18,32.130001,122.895142,36.405914,81.64576
07/08/22,10.17,32.98,122.973595,36.262733,81.77877
07/11/22,9.56,29.58,123.022621,35.508656,81.360741
07/12/22,9.49,29.299999,122.649979,35.518196,80.277702
07/13/22,9.28,29.309999,122.944183,35.518196,80.600723
07/14/22,8.9,29.41,125.346779,35.995461,78.985664
07/15/22,9.04,29.15,126.572601,36.86409,80.31572
07/18/22,9.03,30.16,126.278404,36.949997,81.79776
07/19/22,9.34,30.76,127.053101,38.391346,83.859322
07/20/22,10.11,31.940001,128.112228,38.715889,84.780853
07/21/22,10.49,31.48,129.985245,38.763611,83.365303
07/22/22,9.84,32.200001,129.65184,37.417725,82.728798
07/25/22,9.68,33.549999,129.4655,37.379543,85.483879
07/26/22,9.4,32.25,119.619774,37.188633,85.151367
07/27/22,10.02,34.060001,124.140572,38.353161,86.994431
07/28/22,10.13,36,127.23941,37.904533,88.010963
07/29/22,10.35,36.889999,129.494919,34.659122,92.086609
08/01/22,10.47,35.810001,129.975449,35.279564,89.759041
08/02/22,10.92,36.619999,130.112717,34.372757,89.369514
08/03/22,11.2,36.27,127.974907,34.85957,86.471916
